"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UQWLNYCH","journalArticle","2002","Yates, Colin J; Broadhurst, Linda M","Assessing limitations on population growth in two critically endangered Acacia taxa","Biological Conservation","","00063207","10.1016/S0006-3207(02)00084-8","https://linkinghub.elsevier.com/retrieve/pii/S0006320702000848","Flowering phenology, soil seedbank and the impact of ﬁre, weeds and grazing were investigated in two rare Acacia taxa restricted to the agricultural district north of Perth Western Australia. Acacia aprica is known from six extant populations and one extinct population. Five of the extant populations are restricted to linear road reserves with the sixth population located in a small native vegetation remnant. Acacia cochlocarpa ssp. cochlocarpa is known from a single population also situated on a road verge. Size class structure, levels of canopy death and an absence of juveniles indicated that all populations are in decline. Flowering intensity and success varied between populations and years in A. aprica and between years in A. cochlocarpa ssp. cochlocarpa. Seed bank analysis indicated that seeds were patchily distributed while experimental ﬁres demonstrated that such events could break seed dormancy and promote germination. Both taxa have similar germination physiologies and showed increased germination after seeds were exposed to heat. Following emergence, however, competition with annual weeds had a negative impact on seedling growth and survival in both taxa. While vertebrate grazing had some inﬂuence, weeds were the major inhibitory inﬂuence on recruitment. Reduced ﬁre frequencies since fragmentation may be responsible for population decline in both taxa but other site speciﬁc factors such as weeds and grazing may aﬀect the establishment of seedlings following ﬁre. # 2002 Elsevier Science Ltd. All rights reserved.","2002-11","2021-09-30 16:39:20","2021-09-30 16:39:20","2021-09-30 16:39:20","13-26","","1","108","","Biological Conservation","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/STIJJ8LA/Yates and Broadhurst - 2002 - Assessing limitations on population growth in two .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NYDEYYK","journalArticle","2000","Yao, Izumi; Shibao, Harunobu; Akimoto, Shin-ichi","Costs and benefits of ant attendance to the drepanosiphid aphid <i>Tuberculatus quercicola</i>","Oikos","","00301299","10.1034/j.1600-0706.2000.890101.x","http://doi.wiley.com/10.1034/j.1600-0706.2000.890101.x","","2000-04","2021-09-30 16:39:22","2021-09-30 16:39:22","2021-09-30 16:39:22","3-10","","1","89","","Oikos","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/4GLR8HE6/Yao et al. - 2000 - Costs and benefits of ant attendance to the drepan.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHAN8L7B","journalArticle","2000","Yao, Izumi; Shibao, Harunobu; Akimoto, Shin-ichi","Costs and benefits of ant attendance to the drepanosiphid aphid <i>Tuberculatus quercicola</i>","Oikos","","00301299","10.1034/j.1600-0706.2000.890101.x","http://doi.wiley.com/10.1034/j.1600-0706.2000.890101.x","","2000-04","2021-09-30 16:39:24","2021-09-30 16:39:24","2021-09-30 16:39:24","3-10","","1","89","","Oikos","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/2RZZTLLQ/Yao et al. - 2000 - Costs and benefits of ant attendance to the drepan.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J7T3PJY9","journalArticle","2001","Yanoviak, Stephen P.","Predation, resource availability, and community structure in Neotropical water-filled tree holes","Oecologia","","0029-8549, 1432-1939","10.1007/s004420000493","http://link.springer.com/10.1007/s004420000493","Predation and resource availability influence community structure in many aquatic ecosystems. Predators (odonates) and resources (leaf litter) were manipulated to determine their independent effects on macroorganism species richness, abundance, and composition in water-filled tree holes of Barro Colorado Island, Panama. Interactive effects of these factors were also investigated in artificial tree holes. Large odonates reduced species richness in natural tree holes, but did not significantly reduce macroorganism abundance. The presence of larvae of the mosquito Culex urichii and the ceratopogonid midge Bezzia snowi were negatively associated with the presence of large odonate larvae. In natural tree holes, leaf litter addition and removal respectively increased and decreased richness by c. 1 species relative to controls, and macroorganism abundance was greater in litter addition holes than in litter removal holes. Independent effects of predation showed similar patterns in artificial holes, but there was no predator×resource interaction, partly due to the short duration of the experiment. Predators grew faster when litter was abundant, and indirectly reduced litter degradation rates when resources were scarce in artificial holes. Both resource availability and predation influence species richness in water-filled tree holes, but act at different time scales; richness follows productivity (litter quantity) over a period of weeks, whereas effects of predation may span several months.","2001-01","2021-09-30 16:39:31","2021-09-30 16:39:31","2021-09-30 16:39:31","125-133","","1","126","","Oecologia","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/3KUGX6Q7/Yanoviak - 2001 - Predation, resource availability, and community st.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJHM6SAK","journalArticle","2001","Walls, Susan C.; Williams, Marc G.","The effect of community composition on persistence of prey with their predators in an assemblage of pond-breeding amphibians","Oecologia","","0029-8549, 1432-1939","10.1007/s004420100636","http://link.springer.com/10.1007/s004420100636","","2001-06","2021-09-30 16:39:33","2021-09-30 16:39:33","2021-09-30 16:39:33","134-141","","1","128","","Oecologia","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/AVT4VANL/Walls and Williams - 2001 - The effect of community composition on persistence.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NCY52WFA","journalArticle","","Tielbörger, Katja; Kadmon, Ronen","Indirect effects in a desert plant community: is competition among annuals more intense under shrub canopies?","","","","","","An unresolved discussion in contemporary ecology deals with the relative importance of competition along environmental gradients. In deserts, local-scale differences in environmental productivity may be caused by the presence of shrubs, which represent a favorable habitat for annual populations within a nutrient-poor matrix. In this study, we attempted to test the hypothesis that facilitation of desert annuals by shrubs increase the intensity of competition among the annual plants. Such negative indirect effects have so far been ignored in studies about plant-plant interactions. We tested our hypothesis by measuring seedling survival and fecundity of four abundant annual plant species with and without neighbors in open areas and under shrub canopies in a sandy desert area. Our ﬁndings did not indicate indirect negative effects of shrubs on their understory annuals. Sensitivity to the presence of neighbors varied between species and surprisingly, the species with the smallest seeds was the only one which was not negatively affected by the presence of neighbors. In contrast to our hypothesis, there was no difference between the habitat types shrubs and openings in absolute and relative competition intensity. Our overall results suggest that negative indirect effects of shrubs are unimportant in determining demographic response of understory annual plants.","","2021-09-30 16:39:51","2021-09-30 16:39:51","","12","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/simontye/Zotero/storage/GEWQ5PTC/Tielbörger and Kadmon - Indirect effects in a desert plant community is c.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YJJBWJVP","journalArticle","2000","Salonen, Veikko; Setälä, Heikki; Puustinen, Susanna","The interplay between <i>Pinus sylvestris</i> , its root hemiparasite, <i>Melampyrum pratense</i> , and ectomycorrhizal fungi: Influences on plant growth and reproduction","Écoscience","","1195-6860, 2376-7626","10.1080/11956860.2000.11682588","https://www.tandfonline.com/doi/full/10.1080/11956860.2000.11682588","Despite the extensive literature on mutual interactions between plants and mycorrhizal fungi, and host plants and parasitic plants, little is known about the outcomes of interactions when the three organisms exist in concert with one another. We investigated, in a microcosm experiment, the interactions between Pinus sylvestris L. and the root hemiparasitic Melampyrum pratense L. in the presence/absence of ectomycorrhizal (EM) fungi. Mycorrhizal infection significantly increased the biomass of P. sylvestris, whereas the parasitic infection decreased it. Concentration of host phosphorus was greatly increased by the presence of EM fungi. M. pratense plants attached to mycorrhizal pines had higher biomass and produced more flowers than those growing with non-mycorrhizal pines. We attribute the stimulation of parasite performance in the presence of EM fungi to enhanced nutrient availability to the host individuals, and to increased photosynthetic capacity of hosts as a result of increased above-ground biomass.","2000-01","2021-09-30 16:39:53","2021-09-30 16:39:53","2021-09-30 16:39:53","195-200","","2","7","","Écoscience","The interplay between <i>Pinus sylvestris</i> , its root hemiparasite, <i>Melampyrum pratense</i> , and ectomycorrhizal fungi","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/R7AL3QMA/Salonen et al. - 2000 - The interplay between Pinus sylvestris , it.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EUDK2NLJ","journalArticle","","Tamura, Sanae; Kudo, Gaku","Wind pollination and insect pollination of two temperate willow species, Salix miyabeana and Salix sachalinensis","","","","","","Pollination systems of Salix miyabeana and Salix sachalinensis were studied at a riverside in northern Japan in order to measure the balance of wind pollination and insect pollination. In 1996, 19 clones of each species were selected, and seed-set success by a net-bagging (to exclude insect visitation) and an artiﬁcial pollination (to remove pollen limitation) were compared to by natural pollination. For S. miyabeana, the same experiment was repeated in two populations in 1997. Proportion of seed set through wind pollination dominated in both species in this study. Pollen limitation was common under natural conditions, and S. sachalinensis relied more on insect pollination for seed production than S. miyabeana. Meteorological factors such as precipitation and hours of sunshine during the ﬂowering season inﬂuenced the potential reproductive activity of the willow between years. In the wet and cloudy spring of 1996, clones which obtained high seed set depended more on insect pollination for both species, whereas in the dry and sunny spring of 1997, such clones depended more on wind pollination for S. miyabeana. Because the efﬁciency of wind pollination seemed to be more sensitive to ﬂuctuating weather conditions than insect pollination, insect pollination was considered to play an assurance role for seed production in these willows.","","2021-09-30 16:39:54","2021-09-30 16:39:54","","8","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/simontye/Zotero/storage/MWQQ3CJG/Tamura and Kudo - Wind pollination and insect pollination of two tem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UXA7SYMF","journalArticle","1995","Bonsdorff, Erik; Norkko, Alf; Sandberg, Eva","Structuring zoobenthos: the importance of predation, siphon cropping and physical disturbance","Journal of Experimental Marine Biology and Ecology","","00220981","10.1016/0022-0981(95)00067-2","https://linkinghub.elsevier.com/retrieve/pii/0022098195000672","In a set of field and laboratory experiments, the relative importance of (1) direct predation (measured as mortality in the prey populations), (2) physical disturbance of the sediment (sand and mud), and the combined effects of disturbance and predation, and (3) sublethal siphon cropping, were tested on an infaunal food web in the low-saline northern Baltic Sea. The predators used (Saduria entomon and Crungon crangon) are the major epibenthic crustacean predators of the northern Baltic coastal waters, and the prey organism in the experiments (the bivalve Macoma balthica) is, by frequency of occurrence and by biomass, the dominant infaunal organism among the zoobenthos. In the field the predatory effect of Saduria was tested on the entire infaunal community. The field experiment on direct predation by Saduria on the entire infaunal assemblage significantly reduced the density of the polychaete Manayunkia aestuarina. Aquarium experiments show that although direct predation by Saduriu or physical sediment disturbance alone had little effects on juvenile ( < 3 mm) Macoma, the combined effects of these factors were significant, and more important than the sum of the two single factors, demonstrating synergistic negative effects. Experiments with Saduria and Crungon in relation to adult (7-17 mm) Mucoma showed sublethal effects on length-weight relationships and on a general index of condition in the mussels. The experiments illustrate that intricate combinations of biotic and physical (environmental) mechanisms may play important roles in the organization of zoobenthic communities.","1995-10","2021-09-30 16:39:55","2021-09-30 16:39:55","2021-09-30 16:39:55","125-144","","1","192","","Journal of Experimental Marine Biology and Ecology","Structuring zoobenthos","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/34AADUSY/Bonsdorff et al. - 1995 - Structuring zoobenthos the importance of predatio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RP8BW6C","journalArticle","2008","Strauß, Axel; Solmsdorff, Katrin Y.; Pech, Roger; Jacob, Jens","Rats on the run: removal of alien terrestrial predators affects bush rat behaviour","Behavioral Ecology and Sociobiology","","0340-5443, 1432-0762","10.1007/s00265-008-0584-6","http://link.springer.com/10.1007/s00265-008-0584-6","","2008-08","2021-09-30 16:39:57","2021-09-30 16:39:57","2021-09-30 16:39:57","1551-1558","","10","62","","Behav Ecol Sociobiol","Rats on the run","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/simontye/Zotero/storage/N9HFLFF6/Strauß et al. - 2008 - Rats on the run removal of alien terrestrial pred.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
