"","id","paper","genus","species","fungrp","co2.ambi","co2.elev","units","time","pot","method","stock","xtrt","level","m1i","sd1i","n1i","m2i","sd2i","n2i"
"1",21,44,"ALNUS","RUBRA","N2FIX",350,650,"ul/l",47,"0.5","GC","SEED","FERT","HIGH",6.8169,1.769982,3,3.945,1.115797,5
"2",22,44,"ALNUS","RUBRA","N2FIX",350,650,"ul/l",47,"0.5","GC","SEED","FERT","CONTROL",2.5961,0.6674662,5,2.2512,0.3275839,5
"3",27,121,"ACER","RUBRUM","ANGIO",350,700,"ppm",59,"2.6","GH","SEED","NONE",".",2.99,0.856,5,1.93,0.552,5
"4",32,121,"QUERCUS","PRINUS","ANGIO",350,700,"ppm",70,"2.6","GH","SEED","NONE",".",5.91,1.742,5,6.62,1.631,5
"5",35,121,"MALUS","DOMESTICA","ANGIO",350,700,"ppm",64,"2.6","GH","SEED","NONE",".",4.61,1.407,4,4.1,1.257,4
"6",38,121,"ACER","SACCHARINUM","ANGIO",350,700,"ppm",50,"2.6","GH","SEED","NONE",".",10.78,1.163,5,6.42,2.026,3
"7",44,159,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",730,"GRND","GC","SAP","NONE",".",153.5,27.1932,3,127.3,47.4582,3
"8",63,183,"CITRUS","SINENSIS","ANGIO",395,795,"ppm",365,"9","GH","SAP","NONE",".",1439,142.028,3,1140.6,82.965,3
"9",86,209,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",365,"24","GH","SEED","FERT","HIGH",183.6,39.06,20,144.1,25.7,20
"10",87,209,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",365,"24","GH","SEED","FERT","CONTROL",71.72,14.3,16,59.94,14.28,16
"11",95,210,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",120,"12","GH","SAP","NONE",".",45.8,15.8,20,28.2,11.9,23
"12",96,210,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",120,"12","GH","SAP","NONE",".",72.5,15,24,60.5,14,24
"13",120,290,"PINUS","RADIATA","GYMNO",340,640,"ul/l",120,"4","GC","SAP","NONE",".",59.1,12.9,8,46.4,13.1,8
"14",125,290,"NOTHOFAGUS","FUSCA","ANGIO",340,640,"ul/l",120,"4","GC","SAP","NONE",".",4.9,1.9,8,4.2,1,8
"15",130,290,"PSEUDOTSUGA","MENZIESII","GYMNO",340,640,"ul/l",120,"4","GC","SAP","NONE",".",19,5.4,8,18.5,8.1,8
"16",163,468,"CASTANEA","SATIVA","ANGIO",350,700,"umol/mol",1095,"24","OTC","SAP","NONE",".",146,10,5,136,35,5
"17",170,470,"CASTANEA","SATIVA","ANGIO",350,700,"ppm",180,"24","OTC","SAP","NONE",".",129,59,12,90.4,36,12
"18",182,503,"PINUS","ECHINATA","GYMNO",368,695,"ul/l",287,"0.95","GC","SEED","NONE",".",6.91,3.22,5,6.81,1.57,5
"19",208,505,"QUERCUS","ALBA","ANGIO",389,793,"cm3/m3",168,"2.6","GH","SEED","FERT","HIGH",17.89,10.185,5,14.62,2.294,5
"20",209,505,"QUERCUS","ALBA","ANGIO",389,793,"cm3/m3",168,"2.6","GH","SEED","FERT","CONTROL",14.68,5.013,5,11.18,5.749,5
"21",230,506,"LIRIODENDRON","TULIPIFERA","ANGIO",371,787,"ppm",168,"3.5","GC","SEED","FERT","HIGH",63.97,7.66,5,54.03,1.62,5
"22",231,506,"LIRIODENDRON","TULIPIFERA","ANGIO",371,787,"ppm",168,"3.5","GC","SEED","FERT","CONTROL",6.01,1.02,5,4.93,1.35,5
